,domain,subclass
16297,veunjvnegfxpm,1
16298,e252tjxelsf7acky3h71fcz5,3
16299,jgftgfuqinniei,1
16300,tmjypubenfdptvwdkvskeabu,2
16301,ukprffgbrbgnlx,1
16302,hqfwkcdtnkwsk,1
16303,iqdhdollmpipw,1
16304,vyjjeshhqeitda,1
16305,xdaxsyltpvojs,1
16306,wsglnjznjtcampbjuknztsxaivg,2
16307,jmkmtmooqticpw,1
16308,wtuwwsfwptasrd,1
16309,edhemvifgjtdfdg,1
16310,fpji89sr2bil327nti334bsu,3
16311,wtpnrcbvfliltp,1
16312,1g48fkp1sj12y62hy56pbhxdmq,3
16313,1l5kkddx8dvfj14auiq31ez6ok7,3
16314,fvkoeysjevyrnyu,1
16315,srectqcrhgfgu,1
16316,kcmxpqjgjnvsi,1
16317,hobtxqpzjrhgqpndfazto,2
16318,ymvsnmyamlyhrtq,1
16319,lisrvi13fvazevst6rh2io2v5,3
16320,yfebhyddptwumbb,1
16321,aiqgqlzhyemxqgobdiucfioamwk,2
16322,ypsxccvcoumivk,1
16323,rvmiqevyjilbrlu,1
16324,xrqhecfrcfns,1
16325,wgbmyzhlbjbtcwgrglnhupukqciz,2
16326,dxkjvlesjptu,1
16327,xplhedigmvwxlayhqtjvwkl,2
16328,w2kd9nmvx0pg1rcm6iq1m0e27v,3
16329,vmrkbqknzkvuwxkojtobmyxytingyuc,2
16330,14knera1bfe74y1jqypa51e6jos2,3
16331,9vsv471a3rys3oojzos1u5nxlw,3
16332,wpejyjwyqxean,1
16333,smpijrqvrquyg,1
16334,jlrpiksmqqbqv,1
16335,10o84121g01rp1f0t3xh3ivkny,3
16336,dmbxuidaqvsw,1
16337,1bg85zixt5hxdl959ap1nxo66j,3
16338,xpgwuviippsfs,1
16339,nfyvcnvnxrgjfrogmnjjorh,2
16340,fdmboxrgimggmk,1
16341,skmrpgieytlfdguwsqkpusdqwkws,2
16342,lqbtvuwdycxe,1
16343,djsaefuhutsiwb,1
16344,biviucfvlxnax,1
16345,db2fs91q1d2wki15xog4cgqq6,3
16346,emmpmltftfgwwag,1
16347,kckvbqiuvmbgu,1
16348,lbosymoimsaxka,1
16349,cvyrwoymhgwishg,1
16350,iehjpnvuvyte,1
16351,yqqbgagjpwsyty,1
16352,vhdoiqumgqgg,1
16353,xxxbkfxtawmpkla,1
16354,jbeuaqgmytzhhejrqokfeidxvs,2
16355,pgtqyjb9r8d745znhnp9sgyu,3
16356,de9oau1mz2y1n147i4j5o2xtih,3
16357,f9wy2urcv8da185oa31fu0jbx,3
16358,rfetbrqtfomulh,1
16359,1md7hxp1d5rf9h1pkish8mrpeci,3
16360,1ct97f17dkemaya6h3c1uklt8p,3
16361,xmohhfqoiqljq,1
16362,cjpwmslgoksb,1
16363,mwpyxlnoexrbm,1
16364,ihqadcnuepihg,1
16365,uyauvjvmrvbpuv,1
16366,rmvknxjvlnqcvsfmtglbcitcaeyt,2
16367,aof3lx462agx17qpj3y1vpthte,3
16368,yqeatflrqgxpvyy,1
16369,wucvibyhpimbwgx,1
16370,xkjkxbchfmjnyg,1
16371,gsaskfdnlobfc,1
16372,hugaupoxjdeobeu,1
16373,pmkcgrvwumnydhk,1
16374,wotjbrvtgmdrv,1
16375,tjrailfytirhtsxuauitq,2
16376,xnkxyckxeacqm,1
16377,tsbewouszhmzfqsgeltgnvamjvxc,2
16378,pelvsa7hg5zy2fiwf81m0yluy,3
16379,qkohxawsxeieqlc,1
16380,pf74rf1d6wir195wo5ggjt4mj,3
16381,vx6yhrz9jcky3am4u61yrmgty,3
16382,vllusrluqkcpbdv,1
16383,izaygmdywmninxnfhyirauvup,2
16384,durbugjfqztytclfeqinhigixw,2
16385,jmkbtnqdcnvgi,1
16386,ebjhbgdvqwcgexx,1
16387,wfptnupkihqtav,1
16388,12xvtga1q7vc0y1rew4pjimm1rn,3
16389,kpanuewgsktp,1
16390,itwxjuqnbxvfdp,1
16391,krpbtavlwyli,1
16392,cxkniilswtjqa,1
16393,ypcdqvvwjpuu,1
16394,ddueprqisydrhah,1
16395,ddewjvtgcchxix,1
16396,ldytzdxcrbauwqgqghspngux,2
16397,djnkdurqtyoeanh,1
16398,vspuktbrvvfpp,1
16399,qjbsqjdjjeqfqvu,1
16400,o7f77cy5iw6771ng2y146ynvr,3
16401,nybtoqlfpyxyis,1
16402,1py0a8n1xyfhl41n1hc181wx7v98,3
16403,zxuwjfxaqvluayeybekrnbyhwc,2
16404,16epmstdlbw1rvr1wjy12hh3nb,3
16405,hknemdyprjek,1
16406,prwnkmiaerqompj,1
16407,axgzdtxguscreuamkjfipzypzdd,2
16408,f81dqfii4mvhfflg90tqtcjp,3
16409,10ef0mb1477ox61x336kwjoorna,3
16410,voaroylxovhlmzwsdetgjlfp,2
16411,gcxybdudkfhggt,1
16412,loqasjahpbnkv,1
16413,ktc0vd1u4g66v19tkgux45vs39,3
16414,lvguawnmqdghiv,1
16415,idynabxpkokqo,1
16416,esdwsyhirwid,1
16417,slowqatcwjujbky,1
16418,sfsgwnbdcvmmdys,1
16419,vctmarqqvlppe,1
16420,gkm9yf1kbq3oztzv49tcclbl5,3
16421,hswqorkkndkjeyknpreatmprp,2
16422,pdwldnecmulxr,1
16423,mu68lty116sqedmpvbvljlms,3
16424,pbfqaujvgibqdxyhgmztvoljf,2
16425,koiyfudsxauba,1
16426,aetgitkorscjtmzbeozljtgtci,2
16427,spgijhllwcknl,1
16428,1m3q6fg8z3j7r1cvo9vh14r8yf4,3
16429,tfgautokdbdu,1
16430,hueahurgjfnbemcuozxjnimzzddq,2
16431,mfihytcwxckbylzdyxtotdyzh,2
16432,didwopzpxcuwsgylnwkbfptcbi,2
16433,1p6u6ravxkhj49hknzt16oev7a,3
16434,rufokfakwfiqdr,1
16435,thdqlfeorincmumvrlrrkof,2
16436,seostodytekp,1
16437,xshfiplnmvbtwxwgdxkguyh,2
16438,13bao7i1i18thk19k00y3l5et8b,3
16439,suosndiushtokxu,1
16440,tdwfstvjkgoy,1
16441,wov10y1s1180p16ec74p1ji0rnw,3
16442,biqbhiupjjrwpk,1
16443,sgem711uuk2vmyl1qlrdymhvl,3
16444,laymrqkrhfuqdivkxscbiuw,2
16445,mtpqgmwpjuydfqm,1
16446,m3saxt1827wdv1b90czn162104d,3
16447,fifnokelswqnny,1
16448,122i9jhzn30161jy3me91k3pzxa,3
16449,vojbvuglzylfuldizbmtkxopjk,2
16450,ieysanvibucn,1
16451,ivwmeshafkhwdt,1
16452,wdvkrwkvqwpvfyntsljtkswpbyx,2
16453,uuhwqmssnotp,1
16454,1s5af8nty75g7vuio641nkf0kw,3
16455,fvwxcgpflepsmqs,1
16456,avskqpxvkmnp,1
16457,qxavdikemhepxk,1
16458,iqmtqdvvbkhyi,1
16459,cwrgxgpllcmdr,1
16460,rwfmqlsykbvg,1
16461,15kqq2iq7xchk90ezns1a933yp,3
16462,4u7xpy1vnwzpojzpv5v70063r,3
16463,eyorvkamvgponpcnfjtceagewdm,2
16464,jcabqhxwpcawwt,1
16465,14mw2fm43oqnuk12slt1artvwk,3
16466,qswusugqfauei,1
16467,hpjzhyhxamxrodedahyhamlfsc,2
16468,fqnmscppjpreulf,1
16469,ykdmyiwhryaifpm,1
16470,njfaxxobkzbawojrlqjboflea,2
16471,voinqsxfqeaaegawkoftkbgaxg,2
16472,hwmxlpwpwpply,1
16473,borlycbtrjotqv,1
16474,1pjgxajjvbczkwt95si14kvd6j,3
16475,qxsgjianpgxf,1
16476,nrhauthqcyonxbirbylbiheinj,2
16477,rbkwhjdtxxud,1
16478,1fsheuz54t8bc15av8gmt76jgq,3
16479,rlmxicliksaj,1
16480,tjbmbhqwdeschitwbmjzztp,2
16481,recvrsromsrtwu,1
16482,18j0eje1mcs0w1c3tp1jgyax6m,3
16483,lvgeaecawsbwzlbajnjhudyjbxh,2
16484,1ry72p42chlc8zn21118jrkla,3
16485,ldtambyjhmaqcewchaiz,2
16486,128ip6e1yn5l4p1mxob9xhzqmb,3
16487,1x8q03nrf27a10lpuol1o7e1ue,3
16488,gm9asw10c9taa69vgwqfzwfjh,3
16489,mcykdqpqtejb,1
16490,1aavfvd3wz9x01limo61106o0bz,3
16491,17fxr3j155cv4k1381xar1hj2m7l,3
16492,x895pl1afcdxd1un6ccsx2a51c,3
16493,pisytbqphbig,1
16494,pithq779o4igf8lv2u1igenwz,3
16495,lvvwpxsopglfyn,1
16496,zpzyswfuhmrstyllwopztszdca,2
16497,v3bqkhfucydnetl2lz1yzjsz1,3
16498,105zernl84nh1vqk4m01v5druu,3
16499,h2qt48p8s3511nk1ke1mpe7rb,3
16500,iyhbgdgecjmrkjs,1
16501,vwdjxoqworljhirgetwh,2
16502,ijivpzdibxzdpdqwtaifi,2
16503,axulishxvldfldf,1
16504,6gzyl21ljr84v1u349z1devpng,3
16505,x0egk7tmxej810fke3c11jeagz,3
16506,j5u5tc2ttbdsfegtok1btmsl7,3
16507,sqgnuyjwjjqfutj,1
16508,uujjqiqehpwgpt,1
16509,qpibwbjtwpnpbh,1
16510,1dftj18170k3w71i6ge8l1n115pa,3
16511,kpxxoefxxhocvh,1
16512,gybetmftsxolvwpucbasfwcwkqw,2
16513,yhvfudtftmbrqyo,1
16514,slj5h1sywrfmgg4jl3t18njh,3
16515,olylpysenynnkr,1
16516,lmdhpdxeydhpbt,1
16517,vussksaekblm,1
16518,upprbkvywmkno,1
16519,8mdwhu1oi8b4wcervlb1noe8zx,3
16520,lrsdlrkyemobne,1
16521,lfpmljnmmfwj,1
16522,1jca8qoh6r7hh11vwx521fildt1,3
16523,17yuh7gmbi6jg1q33pe24tdjv6,3
16524,upbqhmdxkxgojadlfigcivsug,2
16525,sfcgnc1qx20qbhcpl1zo1u20b,3
16526,orqolcrkukleiwrodiqgkjaemr,2
16527,rdbqhymfwylinivjmjmnttv,2
16528,ofeaypqifcaeikvxgukpbaakv,2
16529,15g872kv32qo2vgj4o21spjqsk,3
16530,ycomwwyocjko,1
16531,sji64v1e5n8oj18s0zdp1cee9m3,3
16532,qojhmcugyzxtthmnbpfxpjknlb,2
16533,scfmrgszzpijhuhmmfswusws,2
16534,bdwrofksjdnyayt,1
16535,jmwtdmmgmppw1ozt4p91tsbc50,3
16536,wpwipmdygximghh,1
16537,stqcsaraosbki,1
16538,yappuuslanrjec,1
16539,pvykmkumhnvwgl,1
16540,ah13km1t2cc7u1kz43zpn4a37g,3
16541,1p3o3la10wewha12st3ht84gogo,3
16542,mjlhfkydcocpriw,1
16543,15r8wrnydeqfh1wokimy138wqnf,3
16544,z1p1yj1qmbjr6n6wjwa5yh0h,3
16545,ijlmvcjfwhirm,1
16546,yraslagvkgfd,1
16547,15lq0id1rm4h73b2qlt21ubtdos,3
16548,11b1z5x9nahzbeb9ep71nkmhqq,3
16549,3454m91df1z9jvq15gzhjiil,3
16550,deo5qmgjoodg8kee1wy6yj2,3
16551,fopff81k90f7gzu9fh61pc7wm,3
16552,dvtpdbchqatwgh,1
16553,pvnqvjbypwhinjx,1
16554,plprifaednab,1
16555,oftkayltxuclrfelfucxpzrsdu,2
16556,duorkqgrowgedtkknnbwgxgucdi,2
16557,qwkatmrwtbld,1
16558,1y9n31422xko36ixqiwg9owth,3
16559,msevtfpyvviyyw,1
16560,ucwrfnvxtcfqe,1
16561,rcaemnlijovhckfmzxfeqwhuaq,2
16562,19jztvc9s69m517qrw441szgs2k,3
16563,1ygvy0spbf3iv1j6nnif1is8lcf,3
16564,lrlcebmivhmpcqpzkrvcbinr,2
16565,ll48fs10khmxg18dwdzj60tgfq,3
16566,iq5mcf14gzozv12j55a82fdgcd,3
16567,angentwtwounhii,1
16568,uulcojubodrw,1
16569,rralodjrmgllwl,1
16570,khspe9xdk7ij19ai8bk1v9wpek,3
16571,eygcaxsafofrun,1
16572,jyrfijjsnqbig,1
16573,jmvttucpupjx,1
16574,tswmjyxpwaoe,1
16575,bcdphwadlboc,1
16576,ajjpeymqkxssjoc,1
16577,clbwgyspapbuwm,1
16578,1hxj4bs64okz3srypg9y280kc,3
16579,nfljhevcembaljovgaxpjrpncykb,2
16580,qagulekobksfht,1
16581,ntehwcafaumo,1
16582,woibcepvkvnvxipprkmzuoizqc,2
16583,195p5nb1jwoo481298ac91vtvg6p,3
16584,sycrirvdggbwb,1
16585,kbelbsxfntjyw,1
16586,53g5ljduyias3ybkygsm19ex,3
16587,ougsiouxayabbdb,1
16588,fmxrwvgxqkmjzxgyvowobefizzh,2
16589,mbkxpsgujcnfdtq,1
16590,mblvqiffesqy,1
16591,190vkrg1xrd59416hx00o4r7myn,3
16592,yjp1wkbnvvtvardn4d1if0vwm,3
16593,hkoyllanwwkjcm,1
16594,msncwipuqpxxoqa,1
16595,lswdqhhdctaf,1
16596,wslzvovxktucrgircikjfeeu,2
16597,hsev9w318ees3vuabzc5b6zu,3
16598,btixrtmsmmddanq,1
16599,ethqbnwmekiubqs,1
16600,uvvqoqqqnfbch,1
16601,ltkencpxyyrnf,1
16602,ml4acc16sbpge77340r5gzbub,3
16603,iqpmmmjftnbdequ,1
16604,1jdvigvkpvk1tjh3pgk14bh0j5,3
16605,aicababrbputtt,1
16606,auqd23bmbm0w8k3i736z0wmd,3
16607,rossuvpukbfcuy,1
16608,rggtgrjxyytbm,1
16609,cqlreqnxgtpjkjaixfadsgp,2
16610,pzxbiguaekzprcqgpndvwhcunz,2
16611,hnpsyshgsqxnx,1
16612,cghhdkpnyrbrjg,1
16613,vwxrxktsgovknjbhqhmlxg,2
16614,lxqjvlhonynwm,1
16615,jndoeoealphkbq,1
16616,srxvptkkgnhhm,1
16617,ekyusxpgqdnut,1
16618,hcyvxaopdkvf,1
16619,hqswlyhwgmjfaqgylhezhnfx,2
16620,wcjtwevjrybr,1
16621,xsvopydpzontmntgmbxomjx,2
16622,xqbvjjxqrxaf,1
16623,pvmdifydyukqgpkjwodyozlrlrob,2
16624,rfrvio1jyb6xl1ac1aa637i4zn,3
16625,k5mepv1rrtkzahsjtnx1kx7dcq,3
16626,jdcaljleivcdyddepnrhyrcxcam,2
16627,teadhafubwfsvkp,1
16628,clwbrvgqhaho,1
16629,rcdfiozbrctclkobprtrgaq,2
16630,rojthdkrdjuvcp,1
16631,1nljd2v1mqd2zi9cbz07974nzx,3
16632,wltoimgtwkxexf,1
16633,clrlhbbsrrgctnx,1
16634,kneijagggmhpuk,1
16635,bunfpfcyyltwwkvqcphmxvgdu,2
16636,chglnlgoybnbora,1
16637,fquosgifzhjzpmjpvtsxsyldbmytyd,2
16638,dgiwbayvbien,1
16639,xbfjlatnnffou,1
16640,ylsyhu1evn74o1jsoath144bmcg,3
16641,gkppssfuwodxg,1
16642,rafbrnlclpttgxt,1
16643,njdeficeqglbpfuaqhlautxfu,2
16644,zw8kt61tcwr2lxccfziq7ctd7,3
16645,dolsfbwnrnwxcf,1
16646,xksdcaxxpiikk,1
16647,ax10br16ddhsqvzwwwopkws37,3
16648,eruhgeratdjdfv,1
16649,xmfyoagitigx,1
16650,kggklaetmhlisd,1
16651,uese75nalyjh1l0l4bl16p2byk,3
16652,ghr204129r7p5uc8g43hyu6db,3
16653,osylikdcatmvb,1
16654,daoruswsofyzhzhwscfe,2
16655,dewwryknunmxuuf,1
16656,twocqypyhmay,1
16657,svtecsvqcduahn,1
16658,nvqutiifchcw,1
16659,sychtplwxwdpuy,1
16660,iffwlybsvqxkqg,1
16661,klpackbbfcilk,1
16662,eggnbaxxiryibr,1
16663,tujdgxcumlco,1
16664,bnheir6jg1122vzg9t1hg74d8,3
16665,rxqbdaqjujff,1
16666,httljmrssuqudk,1
16667,zyxgifnjobqhzptuodmzov,2
16668,d6wmkzrm6ctp1i40z4v1c85qxy,3
16669,maxiuuxhretupny,1
16670,kjfdgktpmwkaqn,1
16671,ajdfufrwkvda,1
16672,bwzain11leb0g1a3mk0d1my9krf,3
16673,z8309zejm9gr1xt6eoof9me2e,3
16674,1e6x8cec86zy1wn7e63uhh67y,3
16675,1nbxhjk1n7qwga4pohq415gst4o,3
16676,qo8gn8srfm531pw50qa195g0a5,3
16677,1kd75m0iqqo4guuefllhqdmhv,3
16678,1xx0kkh94pciyy21xem1pq9je8,3
16679,1ythty816dfgqtlu6xwc120hnnd,3
16680,rzyizqgeursnijgedyydaunroj,2
16681,odqttnkeoqvbxmh,1
16682,dyjngiqgsopnheeidronvaerkpjdvg,2
16683,bqinqoibptzxhxrscpl,2
16684,1t93le3n2h20skiwpa61hp2hdk,3
16685,pvkamol6xkvlhesnt4o0bqpc,3
16686,ceeyvgaeuwsgyxprjkfdmhupzzd,2
16687,ckqnpbhngbxuv,1
16688,dkypsastwghi,1
16689,1ebmnp21it1rcdnri0ce1ux3ioa,3
16690,ebfdyefmmoih,1
16691,vsijodslhvoga,1
16692,zo0ob6105qnlc1nmm855ota80j,3
16693,pjtgmvpmndpvocyqkplbgipo,2
16694,hghnvsbsnlldxt,1
16695,egoelerojutx,1
16696,vsjeoayljiujaj,1
16697,tmbqkhfmdytnbbjreitwnbwo,2
16698,a98jbx1u6w2v41rp6d711x25wrx,3
16699,nopxwbbythtu,1
16700,inorhmopofdsag,1
16701,uvqlccuoydnte,1
16702,wywopeyqmtirg,1
16703,bgcyukdkspsf,1
16704,csstbhhryijdoon,1
16705,pjpfdnbtkhmylqtsghbioph,2
16706,dpxwhexmnnrgbaammrbaytlzlso,2
16707,bdvaqpgmfxglbg,1
16708,ydrbnnlvgffelr,1
16709,taijcnpnussonjkvfycanf,2
16710,raxcfxbispfixs,1
16711,nipyrtikeyjmju,1
16712,xliien1i0d14p1bnxu666c7xk0,3
16713,h37k7718zuhfljm57vxofhs,3
16714,lxgeaumurwxfj,1
16715,pbvamqmhyxcdhus,1
16716,mnqgiigewapj,1
16717,vbnlyqlajrtto,1
16718,1kk3utoz2op4ponga871ednub2,3
16719,s5rjpojd96nl1qs6smw2ytayk,3
16720,psnwusnxkehg,1
16721,bkppqqohlayky,1
16722,eiesbvldusnofl,1
16723,xrpnktmjawssiir,1
16724,1hmszk3l6rmbe9qksd81npu78r,3
16725,qcvwlnytbeprtwnzdxamemxoj,2
16726,tgtiyniqdbxje,1
16727,lhyapntvicqebx,1
16728,13j1y8h174s4kr10e419b11ilvh,3
16729,1tnz7xu535i5h10ec1r4w40v8k,3
16730,rsmnamivhyxhsjnciqusslniv,2
16731,nxjaygpckhexol,1
16732,oicgir4ey9az1s4vnxy5p6k38,3
16733,dilxvvyvqtxm,1
16734,jmruhqkbyhpw,1
16735,ebxrdcidsxmlg,1
16736,vynjwolxehgl,1
16737,fexqcwsviikvjxg,1
16738,eythezxnfwtguofuclftcdiws,2
16739,1nsjwrk17jqqjy3b7du6ckuoqd,3
16740,dwpxmwxoaijceq,1
16741,1qb8agz1qoy0503o2lmf1atrdvd,3
16742,38w301n4onpn1eci673oz790b,3
16743,nricxl9wz8kh1ebxqeb2qr3qx,3
16744,familcerkubab,1
16745,xzdijxgkvucxteiprvspfyfqy,2
16746,eqiangmugylb,1
16747,liofnjskxdobtuw,1
16748,rkqdnfmtydekhwj,1
16749,vvxlhfyjnstlyrg,1
16750,hhqcccmihvyd,1
16751,2s47bq9l5ksnt3m8qd17c68mp,3
16752,lvurlgfvgqqgmm,1
16753,faixgtwdhugdpjxceigieapkjw,2
16754,gucitgfozjrbejvbmwealnswwcuw,2
16755,7yaixumqkml8foo5q3gu9apw,3
16756,tothbylfrctobgijxwwkibsgvckj,2
16757,lydobyxirwcdmovbegemvxhmbaxotk,2
16758,mdkirwtomwdqd,1
16759,wcdsciigiwyscfc,1
16760,316n1l1t0mi8018o1kbbtfjsjf,3
16761,qvbsbaxhpljgk,1
16762,1vvp7sn1rxfm9k17odyvj1fu8gt7,3
16763,nrpfjvukydrwvrkydvkpnwstk,2
16764,ympaoubgtujrwn,1
16765,hsvnfiqksxekl,1
16766,tkyropjvjorbipq,1
16767,qa9lkp1tqm0m21knq8vhhvsofq,3
16768,uummxcbsfppmas,1
16769,jshaglrtqisibqd,1
16770,tckfqeqpvocuireijrqobixguqchi,2
16771,jzbubuppvjbjzqcdumnahpuww,2
16772,bnassygqmqckoo,1
16773,16r8844ubvf5h8breryewdwyt,3
16774,rhnjelswbsiuf,1
16775,1b19034rfbwdnjdiyi36hutol,3
16776,trymnq20h5yfrg8igh1hu47l7,3
16777,fhlnjbccdnpjgb,1
16778,hiuxwcbmvusclcitkjpfyy,2
16779,kbdfcgvrelryhju,1
16780,bxspxneotnbndru,1
16781,td6xqfnn12sm1oreckg19pq361,3
16782,qrqijywptrkev,1
16783,vgnbbehnjlxshaljbempzllvgavw,2
16784,uuwcehnqhjrl,1
16785,avoxcmnxvamfbpl,1
16786,kwrxetfiiybl,1
16787,lkvafdprdfrroqc,1
16788,pjlrmrtrbmptbmbilnvtchyeyov,2
16789,9pj9po1uyy3tro6a2rfy2ztx1,3
16790,mzivdgipbirfyobfqqgfucytbezt,2
16791,apfemjscxhykjusmnjbwoxemt,2
16792,z5z3vq1n5dvf91kq2qwo1g1je5j,3
16793,6bzy86a1kg3ryj8vvp1hnfqs0,3
16794,1olhhagq1jod72n0x3z15098n4,3
16795,ehuhrsfcxnjkk,1
16796,boxvqupcgkwomj,1
16797,rtxnjqvjosmb,1
16798,xamldqphfuukxglbfigyytydjn,2
16799,tekyleqwclmhuae,1
16800,rmmwqrifqjbf,1
16801,djdkntlsaehm,1
16802,ofntjnwnbyur,1
16803,gjrjjyqfsnhx,1
16804,jvbbjsqmykgpyd,1
16805,rcfxvgjlcatel,1
16806,uclngwnujmfiyv,1
16807,kdrrwnuvnkxvxcw,1
16808,mbwm00gd6siz1amoga91pd0gq2,3
16809,vkuceuvv66va1pimz5nqt25lv,3
16810,qvngibujoycj,1
16811,gpgtdmbmyhmbsv,1
16812,itplpg1dg6tli5az99n1kynqry,3
16813,tjnzhxzuwbibedebezxmfsgp,2
16814,1v4k8sp1akwffc1hh8py1cxat8f,3
16815,ipdtyxjfrdtx,1
16816,olgndqutpxml,1
16817,wgrdzzofpukcapvcxwtvofi,2
16818,1pegxn911w4fozzcpb4e1yukk7x,3
16819,caxdxtmnbpvmlvk,1
16820,amxkptfkqkxwdt,1
16821,mhjmundbvwfidse,1
16822,pibljuhdiigm,1
16823,9tn0f71j368o5bblor0120f4lb,3
16824,ojqcnrhqsodqdqlzcaknguxsmj,2
16825,vplqgmcnoabkr,1
16826,evnbbelwowpjk,1
16827,hytsiveflaogmk,1
16828,1eb8o6t1j3wyca1wrzceh1h569sk,3
16829,onzhlceprdmfbaukeygyrsydkrl,2
16830,zwolqwvczhmjzhknemeicxcykzd,2
16831,wklblrseqaqqodovxkkgmul,2
16832,hrifwdwrakcu,1
16833,hyneqghwgwkfqnbgmuwbepc,2
16834,27wvnk1ehy75z1tcbjcu1cmw9wk,3
16835,mqndmyqjmwhyhrf,1
16836,mapuzvmnlpvgcoezzt1kb2cv8,3
16837,npymljxgdpbxxvj,1
16838,1ke7okl14k837x0kbx223lm0r,3
16839,eimcppjgrdycnu,1
16840,yjujsxhqgahfji,1
16841,lonfwqsikxywstj,1
16842,hlsiomxuqsmqgmv,1
16843,1neim9pnhp3w8q2lize18qq2wu,3
16844,krnrqgtxxqtayhcmpfhewgxoqg,2
16845,rquknypkfilxh,1
16846,zwr4k6aqy6efacjgkby4ld6,3
16847,yeusvbewkngvd,1
16848,1mjwitq11wo9nn14km2r612zs464,3
16849,1ncipsl10wj0xwgo4cmzl8a6up,3
16850,qwsbmljyonlzlupfmnemxroirfa,2
16851,aeoldsmakrpmp,1
16852,pscbambgykbibpjydaidonecge,2
16853,kmncxieibyihaca,1
16854,trcssqgvvjgtj,1
16855,sonjbqwcilxsxjdqgwvkau,2
16856,ufculgalfqhcqyo,1
16857,998wor1fictw7gehn3u1k7ugoj,3
16858,41rcrtcyjr4a1v34l5w1atkmwi,3
16859,knwvvgexiedxde,1
16860,1h2h2n3159u7molgg7evqhwuoe,3
16861,fwmwslgpqdnyj,1
16862,ehd22l5vldfm1wxjtau1h9seey,3
16863,eefvhiybynep,1
16864,tjnvjvvhdupwr,1
16865,jiauxhgcnfyvhmn,1
16866,kvmmohfmegncr,1
16867,dqhizljbeuczdlpblrcydipcytxc,2
16868,1r75quf1q08csd1jp3k6bmn16t7,3
16869,dcomorokhiwycu,1
16870,vwadsgwknqajjs,1
16871,1s2ddwtei5hfj1u86ggw1ne5gt3,3
16872,kunoyqdwrfkge,1
16873,gkprsyqqgaqib,1
16874,hepxrsfypjsv,1
16875,hqvgilebheohe,1
16876,mvxsnfegeuoobobxeutgynd,2
16877,140he4eubsa8w10777se14xmc12,3
16878,bhfpakefhsomr,1
16879,gfxxtrxvsloxa,1
16880,gt38631fq4wrgnu198h1j9pij9,3
16881,jhulnbnvxktsq,1
16882,ivayheigyyphmjzlninswzhtdymrin,2
16883,nqicostpwvnqofm,1
16884,loiyvljhgqbxho,1
16885,fkyviaapghorfhq,1
16886,kwltciwwyvekv,1
16887,icwrghvqiaya,1
16888,ddzlfaonfykbodxwdershhyrs,2
16889,3kql3mt31bnt1myi75cq94tlb,3
16890,kcouyjyshssp,1
16891,pofedsavuqiq,1
16892,1lyhv921tq4bv314d6v0z1m8x3en,3
16893,ifsg1z12uuim12bmegu1ad6gvp,3
16894,oftygqugyvyyss,1
16895,apyxouvumxkdww,1
16896,e5k3yjayihgrgq92f2bi9aq5,3
16897,nbqvnrqlctfg,1
16898,nzpbbqdjzrwqoqkrttkgmfatghe,2
16899,eybsvipumccysgd,1
16900,mitqvbfrfmnabst,1
16901,ohpbixjohyetrgm,1
16902,bysvhkiagkbgy,1
16903,vfplpwcyvrqeu,1
16904,pal5kr1hhopfe4kesu14036d6,3
16905,djvorocitsksczhayrscisau,2
16906,llsfoxmovbpa,1
16907,fsscqmtljfyvy,1
16908,etqyo9vgop6k14ped7gradegq,3
16909,dembmtkbedzxuovwmvzpt,2
16910,1eb97xoiq6tn11m2sqcfabn6w,3
16911,zyhlojovqoprnzpsgkbivqke,2
16912,eqkbmvvkkztwnbgeeixbrifjv,2
16913,6gsbuw15ttdn21pcv1jo1y49lj8,3
16914,ohgemklnlixarwg,1
16915,qhwskrayyrgppr,1
16916,1b0ir4y1nyu1xw13xbu6oe7gbyy,3
16917,qmiyggkpmgacksl,1
16918,ytyptj18bjm261besxlnafwi0y,3
16919,pyvpvaoskbipd,1
16920,jvv09d1f3zfnimot7ew1lxr2i9,3
16921,1ewkcvp1mwvf30ojb5zu1n1gcyu,3
16922,kcqraw2n5hsba6epqn1h8v4s2,3
16923,eaintvxrnptq,1
16924,oluujqtebfbmx,1
16925,xvnjdatybdizphcmdrcsp,2
16926,zpyhuctjbuconjnlzcfmxsobiyh,2
16927,nejssdpbfkbudyd,1
16928,gnynocoxonpx,1
16929,55336y1tedhui1dw52wgdwwujv,3
16930,gelsiljecmsgy,1
16931,grtvnjkfqktxwl,1
16932,uechjldwqsjsxf,1
16933,hqbjveceqnqbt,1
16934,bsnusogasgihdj,1
16935,yxwnmagqbdsrcwc,1
16936,i4b1wz1yfaxerf1hvoe2t1lhx,3
16937,chumsqrqevtkdu,1
16938,lkfxejtbfxufrha,1
16939,eieciy1k2ln2piv7smdu9i4w2,3
16940,uxpirwgxtdaiyg,1
16941,ashhymxerdndim,1
16942,uragwoytglsl,1
16943,oypktebfgdkotb,1
16944,cqno0u11xsgu3kqukq214pl098,3
16945,uleceaewwsqtwwc,1
16946,waxbiaejndugn,1
16947,okxrywabatvrca,1
16948,qswgiscuwzlsgafyguwohcil,2
16949,rvfgynqmopcrcfm,1
16950,bugi2c10nxt001hyiprt1myt5kl,3
16951,kktouhiudtaqw,1
16952,7jsf4puwvkg4ec1p41yf00be,3
16953,xgzecmthsdpnzdaedmdysw,2
16954,ggjhfvpkfdor,1
